No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ,gps_latitude,gps_longtitude,gps_time,highte,accel
152,26.799,101191.0,-0.006,-0.008,-0.991,-50.0,-55.0,-10.0,-4.211,-1.464,0.305,0.0,0.0,0,11.61786338424573,0.4910905
153,26.799,101183.0,-0.005,-0.005,-0.992,-50.0,-55.0,-10.0,-4.638,-1.098,0.305,0.0,0.0,0,12.31204633507817,0.49205699999999997
154,26.799,101179.0,-0.004,-0.01,-0.996,-50.0,-55.0,-10.0,-4.455,-0.976,0.244,0.0,0.0,0,12.659162308104058,0.496066
155,26.799,101185.0,-0.004,-0.011,-0.992,-50.0,-55.0,-10.0,-4.333,-1.098,0.244,0.0,0.0,0,12.138494473228928,0.4921005
156,26.799,101183.0,-0.005,-0.007,-0.993,-50.0,-55.0,-10.0,-4.394,-0.915,0.122,0.0,0.0,0,12.31204633507817,0.4930615
157,26.799,101179.0,-0.003,-0.009,-0.993,-50.0,-55.0,-10.0,-4.455,-0.915,0.427,0.0,0.0,0,12.659162308104058,0.4930695
158,26.799,101180.0,-0.006,-0.009,-0.992,-50.0,-55.0,-10.0,-4.577,-0.915,0.183,0.0,0.0,0,12.572381783630428,0.4920905
159,26.799,101182.0,-0.003,-0.012,-0.989,-50.0,-55.0,-10.0,-4.516,-0.976,0.183,0.0,0.0,0,12.398823797137977,0.489137
160,26.799,101186.0,-0.002,-0.012,-0.992,-50.0,-55.0,-10.0,-4.577,-1.037,0.305,0.0,0.0,0,12.051720073398508,0.492106
161,26.799,101189.0,-0.006,-0.007,-0.99,-50.0,-55.0,-10.0,-4.455,-0.61,0.061,0.0,0.0,0,11.791402997986898,0.4900925
162,26.799,101190.0,-0.008,-0.009,-0.99,-50.0,-55.0,-10.0,-4.394,-0.976,0.488,0.0,0.0,0,11.70463268081135,0.49012249999999996
163,26.799,101193.0,-0.008,-0.015,-0.994,-50.0,-55.0,-10.0,-4.638,-1.098,0.427,0.0,0.0,0,11.444327852841793,0.4941625
164,26.799,101193.0,-0.001,-0.008,-0.989,-50.0,-55.0,-10.0,-4.821,-0.915,0.427,0.0,0.0,0,11.444327852841793,0.489093
165,26.799,101191.0,-0.002,-0.007,-0.991,-50.0,-55.0,-10.0,-4.455,-0.915,0.366,0.0,0.0,0,11.61786338424573,0.491067
166,26.799,101181.0,0.001,-0.009,-0.991,-50.0,-55.0,-10.0,-4.455,-0.854,0.122,0.0,0.0,0,12.485602279981899,0.4910815
167,26.799,101193.0,-0.007,-0.012,-0.995,-50.0,-55.0,-10.0,-4.516,-0.854,0.427,0.0,0.0,0,11.444327852841793,0.495109
168,26.799,101180.0,-0.005,-0.011,-0.997,-50.0,-55.0,-10.0,-4.638,-0.915,0.305,0.0,0.0,0,12.572381783630428,0.4970775
169,26.799,101178.0,-0.005,-0.01,-0.993,-50.0,-55.0,-10.0,-4.516,-0.915,0.427,0.0,0.0,0,12.745943853433527,0.493087
170,26.799,101179.0,-0.002,-0.011,-0.991,-50.0,-55.0,-10.0,-4.577,-0.793,0.183,0.0,0.0,0,12.659162308104058,0.491103
